vehicle,date,distance
8,2023-08-15,20
9,2023-05-25,10
5,2023-08-03,25
7,2023-12-16,39
2,2023-08-14,10
3,2023-08-18,20
9,2023-04-20,22
6,2023-04-12,28
9,2023-03-25,15
10,2023-11-24,49
8,2023-06-17,50
8,2023-04-22,21
7,2023-06-11,29
5,2023-09-26,23
7,2023-11-17,16
9,2023-07-31,47
8,2023-03-29,10
2,2023-05-17,29
1,2023-06-16,27
7,2023-02-13,37
3,2023-10-18,43
1,2023-07-11,49
8,2023-05-09,17
2,2023-08-20,16
8,2023-06-28,37
10,2023-11-20,29
4,2023-07-18,40
9,2023-08-09,33
7,2023-09-02,49
10,2023-04-14,21
7,2023-11-21,26
1,2023-09-06,32
1,2023-05-16,47
9,2023-10-30,29
1,2023-04-25,23
6,2023-11-28,14
6,2023-06-16,22
6,2023-06-30,44
10,2023-07-23,38
10,2023-08-18,10
5,2023-07-17,40
5,2023-07-05,29
8,2023-09-25,36
7,2023-06-05,19
2,2023-03-21,36
5,2023-07-05,37
9,2023-08-08,13
8,2023-06-30,10
3,2023-02-22,44
10,2023-02-18,43
5,2023-12-13,16
7,2023-11-13,23
1,2023-12-26,28
10,2023-11-21,50
5,2023-10-14,16
7,2023-02-04,36
7,2023-07-28,35
9,2023-01-17,33
8,2023-06-29,10
6,2023-07-11,47
3,2023-06-14,32
1,2023-05-18,37
9,2023-09-17,22
7,2023-12-04,12
4,2023-01-05,16
3,2023-04-05,13
9,2023-08-18,14
2,2023-05-26,35
4,2023-05-12,29
8,2023-07-14,47
4,2023-03-21,17
4,2023-02-20,45
8,2023-09-02,18
7,2023-01-28,48
5,2024-06-01,48
3,2024-10-20,48
10,2024-06-15,25
7,2024-07-20,11
8,2024-05-25,27
6,2024-06-13,35
5,2024-11-30,37
7,2024-06-22,27
4,2024-10-15,49
7,2024-09-17,26
1,2024-02-20,44
10,2024-10-09,18
10,2024-05-27,14
5,2024-12-26,45
2,2024-04-08,17
4,2024-09-22,33
7,2024-01-23,43
2,2024-04-07,50
10,2024-04-17,46
5,2024-06-26,46
7,2024-05-15,28
5,2024-05-19,36
8,2024-08-06,31
7,2024-06-26,13
6,2024-07-16,15
8,2024-10-08,49
5,2024-05-23,43
1,2024-08-22,12
4,2024-09-08,31
5,2024-04-13,33
5,2024-07-14,49
2,2024-10-11,47
5,2024-08-07,22
1,2024-06-20,21
6,2024-01-12,36
9,2024-07-19,22
7,2024-05-26,47
4,2024-05-04,38
7,2024-06-30,42
9,2024-03-14,47
2,2024-10-31,21
4,2024-10-12,17
1,2024-07-22,25
7,2024-09-20,50
8,2024-01-19,41
4,2024-08-29,10
8,2024-05-17,26
1,2024-06-11,33
6,2024-10-16,15
9,2024-12-11,40
3,2024-07-26,23
10,2024-03-18,21
3,2024-07-13,32
3,2024-04-19,40
5,2024-03-13,48
1,2024-06-18,31
8,2024-05-13,30
4,2024-09-21,14
9,2024-07-25,14
8,2024-04-17,16
4,2024-03-11,47
1,2024-03-22,39
8,2024-09-15,24
6,2024-03-16,17
6,2024-08-24,31
8,2024-07-16,43
7,2024-01-07,50
2,2024-11-04,17
2,2024-10-15,46
7,2024-08-15,46
6,2024-03-01,17
6,2024-06-04,25
5,2024-10-11,48
10,2024-09-13,33
1,2024-11-05,33
6,2024-12-18,39
6,2024-07-26,22
1,2024-04-15,33
10,2024-08-15,40
4,2024-08-25,40
9,2024-07-25,29
7,2024-07-08,28
8,2024-04-02,16
10,2024-10-15,42
9,2024-06-16,39
4,2024-06-24,16
6,2024-09-27,26
5,2024-04-16,38
1,2024-04-15,43
9,2024-08-19,50
8,2024-07-15,35
7,2024-11-06,10
2,2024-04-25,11
2,2024-05-19,44
1,2024-05-03,36
1,2024-05-04,21
2,2024-07-27,18
3,2024-05-25,11
6,2024-04-06,13
10,2024-11-10,21
6,2024-02-07,45
3,2024-03-20,13
4,2024-07-15,36
8,2024-01-01,31
5,2024-06-22,37
10,2024-06-25,25
2,2024-06-28,42
10,2024-08-16,23
1,2024-03-01,39
8,2024-11-09,41
9,2024-05-10,26
5,2024-06-11,29
7,2024-11-08,41
10,2024-08-17,50
1,2024-02-26,15
7,2024-03-24,30
9,2024-08-08,29
5,2024-02-16,50
1,2024-08-07,22
4,2024-07-03,47
3,2024-07-19,37
10,2024-09-20,45
1,2024-09-21,19
10,2024-08-23,21
1,2024-06-13,49
1,2024-07-31,14
9,2024-08-02,46
1,2024-06-26,19
5,2024-05-30,22
1,2024-11-08,14
4,2024-07-22,10
8,2024-08-20,26
7,2024-09-06,30
2,2024-10-29,44
7,2024-05-27,39
6,2024-05-03,49
3,2024-11-29,23
6,2024-03-28,45
1,2024-07-17,44
3,2024-07-13,25
5,2024-04-09,49
7,2024-04-09,42
6,2024-01-03,44
1,2024-10-30,49
3,2024-09-20,15
8,2024-05-31,14
8,2024-12-12,43
7,2024-04-06,23
8,2024-07-02,16
4,2024-06-13,10
1,2024-05-09,28
1,2024-06-12,23
7,2024-04-25,10
1,2024-04-08,35
3,2024-06-29,10
2,2024-03-09,27
4,2024-10-09,12
5,2024-10-13,34
10,2024-10-14,11
6,2024-09-02,44
7,2024-06-05,39
2,2024-12-30,50
1,2024-05-11,24
6,2024-03-09,17
10,2024-06-19,26
10,2024-05-08,24
4,2024-08-06,46
1,2024-04-30,47
9,2024-06-13,29
6,2024-07-04,35
2,2024-12-23,17
7,2024-11-01,15
1,2024-03-13,30
9,2024-07-24,31
3,2024-04-17,22
6,2024-11-16,31
4,2024-08-16,43
8,2024-12-13,16
1,2024-10-26,22
5,2024-11-12,45
9,2024-09-24,36
3,2024-05-27,13
2,2024-08-26,38
7,2024-09-18,27
8,2024-02-02,48
5,2024-08-02,19
2,2024-11-22,15
6,2024-02-20,21
4,2024-10-16,34
9,2024-05-23,23
3,2024-10-23,10
5,2024-09-07,17
9,2024-09-26,47
4,2024-06-29,41
10,2024-06-16,12
3,2024-06-09,46
7,2024-12-21,37
5,2024-09-13,14
6,2024-02-19,36
